File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H19005015.OSCHP	6.67	Gain	1	q32.1	1862.28	172	43	SYT2, KDM5B, PCAT6, MGAT4EP, LOC148709, RABIF, KLHL12, ADIPOR1, CYB5R1, LOC100506747, TMEM183A, TMEM183B, PPFIA4, MYOG, ADORA1, MYBPH, CHI3L1, CHIT1, LINC01353, LINC01136, BTG2, FMOD, PRELP, OPTC, ATP2B4, SNORA77, LINC00260, LAX1, ZC3H11A, ZBED6, SNRPE, LINC00303, SOX13, ETNK2, ERLNC1, REN, KISS1, GOLT1A, PLEKHA6, LINC00628, PPP1R15B, PIK3C2B, MDM4	29	SYT2 (600104), KDM5B (605393), RABIF (603417), KLHL12 (614522), ADIPOR1 (607945), CYB5R1 (608341), TMEM183B (611365), PPFIA4 (603145), MYOG (159980), ADORA1 (102775), MYBPH (160795), CHI3L1 (601525), CHIT1 (600031), BTG2 (601597), FMOD (600245), PRELP (601914), OPTC (605127), ATP2B4 (108732), ZC3H11A (613513), ZBED6 (613512), SNRPE (128260), SOX13 (604748), ETNK2 (609859), REN (179820), KISS1 (603286), PLEKHA6 (607771), PPP1R15B (613257), PIK3C2B (602838), MDM4 (602704)	CytoRegions Not Set				false	arr[hg19] 1q32.1(202,643,207-204,505,487)x6-7	chr1:202643207-204505487
H19005015.OSCHP	5.0	Gain	1	q32.2	4997.07	348	47	CD55, CR2, CR1, CR1L, CD46, MIR29B2CHG, MIR29C, MIR29B2, LOC148696, CD34, PLXNA2, LINC01717, LINC01774, LINC01696, LINC01698, MIR205HG, MIR205, CAMK1G, LAMB3, MIR4260, LOC101930114, G0S2, HSD11B1, TRAF3IP3, C1orf74, IRF6, UTP25, SYT14, SERTAD4-AS1, SERTAD4, HHAT, KCNH1, KCNH1-IT1, RCOR3, TRAF5, LINC00467, RD3, SLC30A1, LINC01693, NEK2, LOC91548, LPGAT1, LOC102723727, INTS7, DTL, MIR3122, LOC101929541	25	CD55 (125240), CR2 (120650), CR1 (120620), CR1L (605886), CD46 (120920), MIR29C (610784), CD34 (142230), PLXNA2 (601054), MIR205 (613147), CAMK1G (614994), LAMB3 (150310), G0S2 (614447), HSD11B1 (600713), TRAF3IP3 (608255), IRF6 (607199), SYT14 (610949), HHAT (605743), KCNH1 (603305), TRAF5 (602356), RD3 (180040), SLC30A1 (609521), NEK2 (604043), LPGAT1 (610473), INTS7 (611350), DTL (610617)	CytoRegions Not Set				false	arr[hg19] 1q32.2q32.3(207,457,844-212,454,914)x5	chr1:207457844-212454914
H19005015.OSCHP	5.0	Gain	1	q32.1	1323.238	89	7	NR5A2, LINC00862, ZNF281, KIF14, DDX59, LOC101929224, CAMSAP2	4	NR5A2 (604453), KIF14 (611279), DDX59 (615464), CAMSAP2 (613775)	CytoRegions Not Set				false	arr[hg19] 1q32.1(199,402,530-200,725,768)x5	chr1:199402530-200725768
H19005015.OSCHP	4.0	Gain	1	q21.2	4209.117	368	172	HIST2H2BC, HIST2H2AA4, HIST2H2AA3, HIST2H3A, HIST2H3C, HIST2H4A, HIST2H4B, HIST2H2BE, HIST2H2AC, HIST2H2AB, BOLA1, SV2A, SF3B4, MTMR11, OTUD7B, VPS45, PLEKHO1, LOC105371433, ANP32E, CA14, SNORD13C, APH1A, C1orf54, CIART, MRPS21, PRPF3, RPRD2, TARS2, MIR6878, ECM1, FALEC, ADAMTSL4, MIR4257, ADAMTSL4-AS1, MCL1, ENSA, GOLPH3L, HORMAD1, CTSS, CTSK, ARNT, CTXND2, SETDB1, CERS2, ANXA9, MINDY1, PRUNE1, BNIPL, C1orf56, CDC42SE1, MLLT11, GABPB2, SEMA6C, TNFAIP8L2, TNFAIP8L2-SCNM1, LYSMD1, SCNM1, TMOD4, VPS72, PIP5K1A, PSMD4, LOC100507670, ZNF687, PI4KB, RFX5, GBAT2, SELENBP1, PSMB4, POGZ, CGN, TUFT1, MIR554, SNX27, CELF3, RIIAD1, MRPL9, OAZ3, TDRKH, TDRKH-AS1, LINGO4, RORC, C2CD4D, LOC100132111, THEM5, THEM4, S100A10, NBPF18P, S100A11, LOC100131107, TCHHL1, TCHH, RPTN, HRNR, FLG, FLG-AS1, FLG2, CRNN, LCE5A, CRCT1, LCE3E, LCE3D, LCE3C, LCE3B, LCE3A, LINC00302, LCE2D, LCE2C, LCE2B, LCE2A, LCE4A, C1orf68, KPRP, LCE1F, LCE1E, LCE1D, LCE1C, LCE1B, LCE1A, LCE6A, SMCP, IVL, SPRR4, SPRR1A, SPRR3, SPRR1B, SPRR2D, SPRR2A, SPRR2B, SPRR2E, SPRR2F, SPRR2C, SPRR2G, LOC101928009, LELP1, PRR9, LOR, PGLYRP3, PGLYRP4, S100A9, S100A12, S100A8, S100A7A, S100A7L2, S100A7, S100A6, S100A5, S100A4, LOC101928034, S100A3, S100A2, S100A16, S100A14, S100A13, S100A1, CHTOP, SNAPIN, ILF2, NPR1, MIR8083, INTS3, SLC27A3, LOC343052, GATAD2B, DENND4B, CRTC2, SLC39A1, MIR6737, CREB3L4, JTB, RAB13, RPS27, NUP210L	127	HIST2H2BE (601831), HIST2H2AC (602797), HIST2H2AB (615014), BOLA1 (613181), SV2A (185860), SF3B4 (605593), OTUD7B (611748), VPS45 (610035), PLEKHO1 (608335), ANP32E (609611), CA14 (604832), APH1A (607629), CIART (615782), MRPS21 (611984), PRPF3 (607301), RPRD2 (614695), TARS2 (612805), ECM1 (602201), FALEC (616092), ADAMTSL4 (610113), MCL1 (159552), ENSA (603061), GOLPH3L (612208), HORMAD1 (609824), CTSS (116845), CTSK (601105), ARNT (126110), SETDB1 (604396), CERS2 (606920), ANXA9 (603319), PRUNE1 (617413), BNIPL (611275), MLLT11 (604684), SEMA6C (609294), TNFAIP8L2 (612112), SCNM1 (608095), TMOD4 (605834), VPS72 (600607), PIP5K1A (603275), PSMD4 (601648), ZNF687 (610568), PI4KB (602758), RFX5 (601863), SELENBP1 (604188), PSMB4 (602177), POGZ (614787), CGN (609473), TUFT1 (600087), SNX27 (611541), CELF3 (612678), MRPL9 (611824), OAZ3 (605138), TDRKH (609501), LINGO4 (609794), RORC (602943), THEM5 (615653), THEM4 (606388), S100A10 (114085), S100A11 (603114), TCHH (190370), RPTN (613259), HRNR (616293), FLG (135940), FLG2 (616284), CRNN (611312), LCE5A (612619), CRCT1 (617426), LCE3E (612617), LCE3D (612616), LCE3C (612615), LCE3B (612614), LCE3A (612613), LCE2D (612612), LCE2C (612611), LCE2B (612610), LCE2A (612609), LCE4A (612618), KPRP (613260), LCE1F (612608), LCE1E (612607), LCE1D (612606), LCE1C (612605), LCE1B (612604), LCE1A (612603), SMCP (601148), IVL (147360), SPRR4 (616363), SPRR1A (182265), SPRR3 (182271), SPRR1B (182266), SPRR2D (617587), SPRR2A (182267), SPRR2B (182268), SPRR2E (617588), SPRR2F (617589), SPRR2G (617590), LELP1 (611042), LOR (152445), PGLYRP3 (608197), PGLYRP4 (608198), S100A9 (123886), S100A12 (603112), S100A8 (123885), S100A7A (617427), S100A7 (600353), S100A6 (114110), S100A5 (176991), S100A4 (114210), S100A3 (176992), S100A2 (176993), S100A16 (617437), S100A14 (607986), S100A13 (601989), S100A1 (176940), CHTOP (614206), SNAPIN (607007), ILF2 (603181), NPR1 (108960), INTS3 (611347), SLC27A3 (604193), GATAD2B (614998), CRTC2 (608972), SLC39A1 (604740), CREB3L4 (607138), JTB (604671), RAB13 (602672), RPS27 (603702)	CytoRegions Not Set				false	arr[hg19] 1q21.2q21.3(149,815,535-154,024,652)x4	chr1:149815535-154024652
H19005015.OSCHP	4.0	Gain	1	p12	876.656	121	16	LOC101929147, LINC01780, HAO2, HAO2-IT1, HSD3B2, HSD3B1, HSD3BP4, LINC00622, ZNF697, PHGDH, HMGCS2, REG4, NBPF7, ADAM30, NOTCH2, NOTCH2NLR	9	HAO2 (605176), HSD3B2 (613890), HSD3B1 (109715), PHGDH (606879), HMGCS2 (600234), REG4 (609846), NBPF7 (613997), ADAM30 (604779), NOTCH2 (600275)	CytoRegions Not Set				false	arr[hg19] 1p12p11.2(119,761,037-120,637,693)x4	chr1:119761037-120637693
H19005015.OSCHP	4.0	Gain	1	p13.2	2853.21	266	33	MAGI3, PHTF1, RSBN1, AP4B1-AS1, PTPN22, BCL2L15, AP4B1, DCLRE1B, HIPK1-AS1, HIPK1, OLFML3, SYT6, TRIM33, BCAS2, DENND2C, AMPD1, NRAS, CSDE1, SIKE1, SYCP1, TSHB, TSPAN2, NGF, VANGL1, CASQ2, NHLH2, LINC01649, LOC101928977, SLC22A15, MAB21L3, ATP1A1, ATP1A1-AS1, LINC01762	24	MAGI3 (615943), PHTF1 (604950), RSBN1 (615858), PTPN22 (600716), AP4B1 (607245), DCLRE1B (609683), HIPK1 (608003), OLFML3 (610088), SYT6 (607718), TRIM33 (605769), BCAS2 (605783), AMPD1 (102770), NRAS (164790), CSDE1 (191510), SIKE1 (611656), SYCP1 (602162), TSHB (188540), TSPAN2 (613133), NGF (162030), VANGL1 (610132), CASQ2 (114251), NHLH2 (162361), SLC22A15 (608275), ATP1A1 (182310)	CytoRegions Not Set				false	arr[hg19] 1p13.2p13.1(114,157,022-117,010,232)x4	chr1:114157022-117010232
H19005015.OSCHP	4.0	Gain	1	q32.1	1096.601	103	19	MDM4, LRRN2, NFASC, CNTN2, TMEM81, RBBP5, DSTYK, TMCC2, NUAK2, KLHDC8A, LEMD1-AS1, LEMD1, BLACAT1, MIR135B, LOC284577, CDK18, LOC284578, MFSD4A, ELK4	12	MDM4 (602704), LRRN2 (605492), NFASC (609145), CNTN2 (190197), RBBP5 (600697), DSTYK (612666), NUAK2 (608131), KLHDC8A (614503), LEMD1 (610480), BLACAT1 (615480), CDK18 (169190), ELK4 (600246)	CytoRegions Not Set				false	arr[hg19] 1q32.1(204,506,076-205,602,677)x4	chr1:204506076-205602677
H19005015.OSCHP	3.67	Gain	1	q32.1	1850.442	107	32	SLC45A3, NUCKS1, RAB29, SLC41A1, PM20D1, LOC284581, SLC26A9, FAM72A, FAM72C, AVPR1B, RHEX, CTSE, SRGAP2, SRGAP2D, IKBKE, MIR6769B, RASSF5, EIF2D, DYRK3, MAPKAPK2, IL10, IL19, IL20, IL24, FCMR, PIGR, FCAMR, C1orf116, YOD1, PFKFB2, C4BPB, C4BPA	29	SLC45A3 (605097), NUCKS1 (611912), RAB29 (603949), SLC41A1 (610801), PM20D1 (617124), SLC26A9 (608481), FAM72A (614710), AVPR1B (600264), RHEX (616088), CTSE (116890), SRGAP2 (606524), SRGAP2D (614705), IKBKE (605048), RASSF5 (607020), EIF2D (613709), DYRK3 (603497), MAPKAPK2 (602006), IL10 (124092), IL19 (605687), IL20 (605619), IL24 (604136), FCMR (606015), PIGR (173880), FCAMR (605484), C1orf116 (611680), YOD1 (612023), PFKFB2 (171835), C4BPB (120831), C4BPA (120830)	CytoRegions Not Set				false	arr[hg19] 1q32.1q32.2(205,606,705-207,457,147)x3-4	chr1:205606705-207457147
H19005015.OSCHP	3.33	Gain	1	q41	2295.12	161	15	C1orf140, DUSP10, LINC01655, LINC02257, LINC02474, HHIPL2, TAF1A, TAF1A-AS1, MIA3, AIDA, BROX, FAM177B, DISP1, TLR5, SUSD4	7	DUSP10 (608867), TAF1A (604903), MIA3 (613455), AIDA (612375), DISP1 (607502), TLR5 (603031), SUSD4 (615827)	CytoRegions Not Set				false	arr[hg19] 1q41(221,244,371-223,539,491)x3-4	chr1:221244371-223539491
H19005015.OSCHP	3.33	Gain	1	q42.11	1137.046	75	6	CNIH4, WDR26, MIR4742, CNIH3, DNAH14, LBR	4	CNIH4 (617483), WDR26 (617424), DNAH14 (603341), LBR (600024)	CytoRegions Not Set				false	arr[hg19] 1q42.11q42.12(224,521,631-225,658,677)x3-4	chr1:224521631-225658677
