sample	chr	startpos	endpos	nMajor	nMinor
sample1	1	754192	121350934	1	1
sample1	1	144009053	249212878	2	1
sample1	2	21494	243052331	1	1
sample1	3	63411	197852564	1	1
sample1	4	69404	190915650	1	1
sample1	5	38139	46193462	2	1
sample1	5	46202104	180698312	1	1
sample1	6	204909	170913051	1	1
sample1	7	41421	159118443	1	1
sample1	8	172417	146292734	1	1
sample1	9	204738	141054761	1	1
sample1	10	126070	135434303	1	1
sample1	11	192764	134938847	1	1
sample1	12	189400	133818115	1	1
sample1	13	19084823	115103150	1	1
sample1	14	19788295	107282024	1	1
sample1	15	20161372	102397317	1	1
sample1	16	83887	90158005	1	1
sample1	17	400959	80263427	1	1
sample1	18	12842	78007784	1	1
sample1	19	247232	59093239	1	1
sample1	20	69094	62912463	1	1
sample1	21	9648315	48097610	1	1
sample1	22	16863070	51213826	1	1
